name,x position,y position,z position,Elbow_Angle,Humeral_pro/ret,Humeral_ele/dep
atlas,14.377809,8.955124,13.473561,62.94784746,107.3431627,53.47805335
atlas,14.199182,9.028882,13.382426,65.90928032,110.0862153,56.6761247
atlas,13.965367,9.116947,13.322823,64.70125306,109.9544139,52.47542358
atlas,13.803725,9.178785,13.267009,65.65257971,117.8699569,56.37776836
atlas,13.598113,9.172964,13.328581,63.53265604,114.5004354,56.48054868
atlas,13.397453,9.175087,13.329542,63.63358613,116.3676277,49.61537661
atlas,13.17283,9.240307,13.252423,62.35289924,123.7230288,53.2512956
atlas,12.923001,9.278278,13.245135,65.14454012,121.2818897,56.02402802
atlas,12.708979,9.222496,13.345354,68.58702408,108.0537236,50.79460002
atlas,12.501233,9.311382,13.249879,66.27985283,115.3824728,55.64153757
atlas,12.315809,9.255318,13.317779,70.66783991,109.6720553,53.78080557
atlas,12.121788,9.320614,13.240328,74.60099374,113.2223726,55.30263583
atlas,11.871572,9.350482,13.174158,72.96320831,124.3584975,57.11098401
atlas,11.649144,9.341208,13.172566,75.68844214,124.7203808,57.57866245
atlas,11.461146,9.342276,13.205477,76.35477964,115.3868953,52.09693939
atlas,11.267468,9.343943,13.182893,76.91326456,117.2934611,56.89955536
atlas,11.062747,9.351594,13.130959,76.16675433,118.3449976,57.20948522
atlas,10.889508,9.385693,13.1529,81.86778987,117.0158177,59.18091243
atlas,10.668206,9.281619,13.223758,82.13577696,113.2775555,58.8653945
atlas,10.454862,9.337461,13.057109,83.50340137,124.9833543,62.17589676
atlas,10.285067,9.320292,13.046663,87.03643342,126.5767142,58.95603466
atlas,10.09868,9.288568,13.063587,86.53548503,126.557549,61.06484394
atlas,9.919704,9.288547,13.022996,86.58339354,127.1792859,60.03185905
atlas,9.703308,9.210707,13.093048,91.30328271,122.6416559,62.16274679
atlas,9.488359,9.182044,13.080923,92.72298591,125.0687342,59.76346046
atlas,9.352691,9.111997,13.105777,95.42459553,122.6154542,63.85517969
atlas,9.127725,9.100382,13.044646,97.49436759,122.2122341,63.49968236
atlas,8.958728,9.120845,12.949662,97.60129345,127.3350082,58.13243712
atlas,8.780523,9.050324,12.970962,98.27614183,126.4135487,63.09592901
atlas,8.594869,9.059999,12.880267,97.78416103,132.9907566,67.48087694
atlas,8.391786,8.971914,12.924191,101.7976475,128.3245326,63.03146411
atlas,8.223104,8.908039,12.914142,103.0366932,129.3884958,66.36975138
atlas,8.033816,8.812233,12.940687,102.2819083,119.9664115,63.19800144
