timing,foreaft, lateral,normal
168,-0.19996,0.09036,-0.06695
169,-0.17735,0.10794,-0.05999
170,-0.15754,0.07171,-0.06318
171,-0.16289,0.09267,-0.07747
172,-0.16888,0.10143,-0.07248
173,-0.16788,0.11365,-0.0767
174,-0.17558,0.06255,-0.06448
175,-0.21224,0.08692,-0.06103
176,-0.1762,0.0891,-0.06105
177,-0.18738,0.08866,-0.06492
178,-0.18231,0.10417,-0.05915
179,-0.16,0.09246,-0.06713
180,-0.20603,0.08542,-0.06389
181,-0.18325,0.09954,-0.07492
182,-0.16721,0.07443,-0.07553
183,-0.1563,0.08014,-0.06287
184,-0.14779,0.06137,-0.058
185,-0.18333,0.09643,-0.06566
186,-0.14997,0.0988,-0.06571
187,-0.1262,0.0479,-0.07029
188,-0.17265,0.07669,-0.06982
189,-0.14819,0.09765,-0.07353
190,-0.17416,0.09738,-0.04962
191,-0.1687,0.07479,-0.0739
192,-0.19435,0.10503,-0.06564
193,-0.19352,0.08634,-0.05902
194,-0.16728,0.10689,-0.06204
195,-0.15692,0.0786,-0.07114
196,-0.15858,0.09903,-0.06489
197,-0.13725,0.10138,-0.05302
198,-0.17569,0.06279,-0.06303
199,-0.16191,0.10249,-0.04745
200,-0.15335,0.08947,-0.06587
201,-0.17534,0.0852,-0.06482
202,-0.15665,0.08938,-0.06227
203,-0.18367,0.06091,-0.06604
204,-0.19534,0.07678,-0.06239
205,-0.16561,0.07514,-0.06467
206,-0.19435,0.08108,-0.06136
207,-0.15423,0.11255,-0.06833
208,-0.17331,0.07224,-0.06624
209,-0.1477,0.09206,-0.06093
210,-0.18945,0.10951,-0.05979
211,-0.17477,0.09594,-0.06092
212,-0.13157,0.09765,-0.05799
213,-0.15208,0.10552,-0.06843
214,-0.14783,0.08842,-0.05882
215,-0.15462,0.10084,-0.0561
216,-0.13913,0.08239,-0.0659
217,-0.16268,0.07146,-0.05712
218,-0.14769,0.09857,-0.05709
219,-0.15012,0.10688,-0.06532
220,-0.16675,0.06884,-0.05219
221,-0.12718,0.06829,-0.06185
